"Component Count:","94"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Function","Installed","License","manf#"
"1","10","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10","10pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","",""
"2","1","C11","100pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","",""
"3","9","C12, C13, C14, C15, C16, C17, C18, C19, C20","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","",""
"4","10","C21, C22, C23, C24, C25, C26, C27, C28, C29, C30","10uF","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"5","1","CN1","VGA","Connector:DE15_Plug_HighDensity","VLB:DSUB-15_female"," ~","","","","",""
"6","3","FB1, FB2, FB3","FerriteBead","Device:FerriteBead","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","",""
"7","1","JP1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","SPI Power DDC/i2c ROM","","",""
"8","2","JP2, JP3","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","",""
"9","15","R1, R2, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21","33R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"10","3","R3, R4, R5","75R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"11","3","R6, R7, R8","0R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"12","23","R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","1","",""
"13","2","R46, R47","150R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"14","1","U1","74LS244","74xx:74LS244","Package_SO:SO-20_12.8x7.5mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf","","","","",""
"15","1","U2","27C020","Memory_EPROM:27C020","VLB:EEPROM_combo","http://ww1.microchip.com/downloads/en/devicedoc/doc0570.pdf","","","","",""
"16","4","U3, U4, U5, U6","V53C16258H",":HY51V18164B_1","VLB:SOJ-40_10.16x26.00mm_P1.27mm","","","","","",""
"17","1","U7","86C325","virge:86C765","VLB:QFP-208","","","","","86C765 VL Bus","86C765"
"18","1","U8","7404","74xx:74HC04","Package_SO:SO-14_3.9x8.65mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","","","","",""
"19","1","U9","7408","74xx_IEEE:7408","Package_SO:SO-14_3.9x8.65mm_P1.27mm","","","","","",""
"20","1","Y1","14.318MHz","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~","","","","",""
